T2,T3,T4,T5,T6,T7,CN
"DL,HU,MP,VD,D","PH,HU,B,MP,XM,L,D","PH,TD,NP,VH,DL,HU,B,DD,T,TU,C,HP,XM,VD,L,BD ,HT","PH,NP,VH,U,DL,HU,M,QT,DM,DD,HD,T,TB,HP,VD,L,BD,HT","PH,TD,VH,NP,U,DL,HU,M,DM,DD,T,TU,TH,TB,MP,HP,VD,L,BD,HT","PH,TH",
"DL,HU,MP,XM,VD,D","PH,HU,B,MP,XM,L,D","PH,NP,HU,B,T,TU,HP,XM,VD,L,HT","NP,U,DL,HU,M,QT,DM,HD,T,TU,TB,VH,VD,L,BD,HT","PH,TD,NP,U,DL,HU,M,DM,T,TH,TB,HP,VH,VD,L,BD,HT","PH,TH",
"TD,HU,M,TH,VD,D","PH,B,DM,MP,XM,L","NP,DL,HU,DM,B,T,TU,C,HP,XM,VD,HT","NP,U,M,QT,DM,HD,T,C,HP,VH,VD,L,HT","PH,TD,VH,NP,U,M,DM,T,TU,TH,TB,MP,HP,D,HT",HP,
"TD,DL,M,QT,DD,HD,TU,TH,C,L,D","PH,VH,B,DM,TU,C,MP,L","TD,DL,HU,QT,B,DM,HD,TB,MP,HP","PH,NP,VH,U,M,QT,DD,HD,T,TU,TH,TB,C,XM,L,BD,HT","U,HU,M,QT,T,TH,HP,VH,D,HT","HP,L",M
"PH,TD,QT,B,DM,DD,HD,TH,C,MP,M,L,D,HT","PH,NP,TD,HU,QT,B,DM,HD,TU,C,VH,M,L,BD,HT","PH,HU,B,DM,DD,HD,TH,TB,MP,M","TD,NP,VH,U,M,QT,DM,DD,HD,TU,TH,TB,C,HP,XM,L,HT","VH,U,HU,DM,DD,T,TH,HP,M,L,D,HT","DM,M,L","M,DM"
